Year,Month,Fieldwork,,Published,,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,UKIP good,UKIP bad,UKIP net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,UKIP Best PM,Question,Govt good,Govt bad,Govt net,Question,,,,,,,,
,Feb,19-22,19/2/16,24,,ComRes,DM,38.0,1.0,31.0,-1.0,8.0,2.0,12.0,0.0,3.0,-1.0,7.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,17-23,17/2/16,24,,BMG,,38.0,1.0,30.0,0.0,5.0,-2.0,16.0,1.0,5.0,1.0,8.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,23-26,23/2/16,,,Sky,,,,,,,,,,,,,,Internet,,,,40.0,55.0,-15.0,31.0,56.0,-25.0,15.0,42.0,-27.0,34.0,50.0,-16.0,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,,
,Mar,9-10,9/3/16,12,,ComRes,IoS/SM,38.0,-3.0,29.0,2.0,7.0,-2.0,16.0,1.0,4.0,1.0,9.0,-5.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,11-13,11/3/16,14,,ICM,Gu,36.0,-3.0,36.0,4.0,8.0,1.0,11.0,0.0,3.0,-1.0,0.0,-7.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,16-17,16/4/16,17,,YouGov,TT,33.0,-6.0,34.0,5.0,6.0,0.0,16.0,-2.0,3.0,0.0,-1.0,-11.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,22.0,58.0,-13.0,Do you approve or disapprove of the Government's record to date?,(Fieldwork 17-22/3),,,,,,,
,Mar,18-20,18/3/16,24,,ComRes,DM,37.0,-1.0,35.0,4.0,7.0,-1.0,9.0,-3.0,4.0,1.0,2.0,-5.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,19-22,19/3/16,24,,Ipsos MORI,ES,36.0,-3.0,34.0,1.0,10.0,4.0,11.0,-1.0,3.0,0.0,2.0,-4.0,Phone,,,,34.0,59.0,-25.0,35.0,46.0,-11.0,24.0,36.0,-12.0,38.0,40.0,-2.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,32.0,61.0,-29.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Mar,24-29,25/3/16,4,,BMG,,36.0,-2.0,31.0,1.0,7.0,2.0,16.0,0.0,5.0,0.0,5.0,-3.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,29-1,29/3/16,3,,Opinium,Ob,33.0,-5.0,32.0,2.0,5.0,0.0,17.0,1.0,4.0,-1.0,1.0,-7.0,Internet,,,,34.0,53.0,-19.0,26.0,49.0,-23.0,10.0,38.0,-28.0,25.0,49.0,-24.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,,,,,,,,,,,,,,,,,
,Apr,4-25,4/4/16,,,Sky,,,,,,,,,,,,,,Internet,,,,36.0,59.0,-23.0,29.0,58.0,-29.0,16.0,41.0,-25.0,31.0,49.0,-18.0,,,,Are you satisfied or disatisfied with the performance of X as Y?,,,,,,,,,,,,,,,,,
,Apr,6-7,6/4/16,,,YouGov,,,,,,,,,,,,,,Internet,,,,34.0,58.0,-24.0,30.0,52.0,-22.0,11.0,31.0,-20.0,28.0,46.0,-18.0,,,,Do you think X is doing well or badly as… ,,,,,,,,,,,,,,,,,
,Apr,11-12,11/4/16,14,,YouGov,TT,31.0,-2.0,34.0,0.0,8.0,2.0,17.0,1.0,3.0,0.0,-3.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,32.0,25.0,,,Which of the following do you think would make the best PM?,,,,,,,,,,,,
,Apr,13-14,13/4/16,17,,ComRes,IoS/SM,35.0,-3.0,30.0,1.0,8.0,1.0,16.0,0.0,4.0,0.0,5.0,-4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,15-17,15/4/16,18,,ICM,Gu,38.0,2.0,33.0,-3.0,7.0,-1.0,13.0,2.0,3.0,0.0,5.0,5.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,15-17,15/4/16,18,,ICM,Gu,36.0,,31.0,,7.0,,16.0,,4.0,,5.0,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,16-18,16/4/16,20,,Ipsos MORI,ES,38.0,2.0,35.0,1.0,6.0,-4.0,11.0,0.0,3.0,0.0,3.0,1.0,Phone,,,,37.0,56.0,-19.0,38.0,43.0,-5.0,21.0,29.0,-8.0,32.0,38.0,-6.0,,,,Are you satisfied or dissatisfied with the way X is doing his job as…,,,,,,33.0,59.0,-26.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,,,,,
,Apr,22-26,22/4/16,4,,BMG,,33.0,-3.0,32.0,1.0,6.0,-1.0,18.0,2.0,5.0,0.0,1.0,-4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,25-26,25/4/16,28,,YouGov,TT,30.0,-1.0,33.0,-1.0,6.0,-2.0,20.0,3.0,3.0,0.0,-3.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,22.0,58.0,-13.0,Do you approve or disapprove of the Government's record to date?,,,,,,,,
