Fulham West,,,,,,,,,,,,,,,
4/6/38,,,,,,,,,,,,,,,
,,By-election result,,26.9,2.0,65.1,,,,-38.2,Con/Lib,,,,
,,,,,,,,,,,,,,,
Christchurch,,,,,,,,,,,,,,,
5/6/93,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,,,,,,
,,General election result 92,,63.5,12.1,23.6,,,,39.9,Con/Lib,,,,
,,,Bournemouth Echo,28.3,8.3,32.5,,,,-4.2,Con/Lib,,c. early April,,Figures appear not to exclude Don't Knows etc.
,,By-election result,,31.4,2.7,62.2,,,,-30.8,Con/Lib,,,,
,,,,,,,,,,,,,,,
Hartlepool,,,,,,,,,,,,,,,
9/30/04,,,,,,,,,,,,,,,
,,,,Con,Lab,LD,UKIP,,,Lead,,,,,
,,General election result 01,,20.9,59.1,15.0,,,,44.1,Lab/Lib,,,,
,,14-Sep,C4,13,53,20,9,,,33.0,Lab/Lib,,,,
,,By-election result,,9.7,40.7,34.2,10.2,,,6.5,Lab/Lib,,,,
,,,,,,,,,,,,,,,
Blaenau Gwent,,,,,,,,,,,,,,,
6/29/06,,,,,,,,,,,,,,,
,,,,Con,Lab,LD,PC,Ind,,,,,,,
,,General election result 05,,2.0,32.3,4.3,2.4,58.2,,25.9,,,,,
NOP,,1-Jun,,5,47,6,6,35,,-12,,,,,
,,By-election result,,3.7,37.0,5.4,6.5,46.7,,9.7,,,,,
,,,,,,,,,,,,,,,
Crewe & Nantwich,,,,,,,,,,,,,,,
5/22/08,,,,,,,,,,,,,,,
,,,,Con,Lab,LD,,,,Lead,,,,,
,,General election result 05,,33,49,19,,,,-16.0,,,,,
ICM,7-8 May,11-May,MoS,43,39,16,,,,4.0,Phone,,,,
ICM,,18-May,NoTW,45,37,14,,,,8.0,Phone,,,,
ComRes,15-18 May,20-May,Ind,48,35,12,,,,13.0,Phone,,,,
,,By-election result,,49.5,30.6,14.6,,,,,,,,,
,,,,,,,,,,,,,,,
Haltemrpice and Howden,,(ICM poll before list of candidates known),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Glasgow East,,,,,,,,,,,,,,,
7/24/08,,,,,,,,,,,,,,,
,,,,Con,Lab,LD,SNP,,,Lead,,,,,
,,General election result 05,,6.9,60.7,11.8,17.0,,,43.7,,,,,
ICM,10-11 July,13-Jul,S Tel,7,47,9,33,,,14,Phone,,,,
Progressive Scottish Opinion,14-17 July,19-Jul,,7,52,3,35,,,17,,,,,
,,By-election result,,6.3,41.7,3.5,43.1,,,-1.4,,,,,
,,,,,,,,,,,,,,,
Glenrothes,,,,,,,,,,,,,,,
11/6/08,,,,,,,,,,,,,,,
,,,,Con,Lab,LD,SNP,,,Lead,,,,,
,,General election result 05,,7.1,51.9,12.7,23.4,,,28.5,,,,,
ICM,17 Sept,21-Sep,MoS,5,43,8,43,,,0.0,,,,,
,,21-Sep,Scottish S Exp,,16,,29,,,-13.0,Straw poll in shopping centre,,,,
,,2-Nov,Scottish S Exp,4,26,2,23.5,,,2.5,Straw poll in shopping centre,,,,
,,By-election result,,3.8,55.1,2.6,36.5,,,18.6,,,,,
,,,,,,,,,,,,,,,
Glasgow North East,,,,,,,,,,,,,,,
11/12/09,,,,Con,Lab,LD,SNP,,,Lead,,,,,
,,,,,53.3,,17.7,,,35.6,Speaker and so no Con or LD candidate,,,,
Scottish Opinion,,31-May,Sunday Times,6,51,3,33,,,18,,,,,
,,By-election result,,5.2,59.4,2.3,20,,,39.4,,,,,
,,,,,,,,,,,,,,,
Norwich North,,,,,,,,,,,,,,,
7/23/09,,,,,,,,,,,,,,,
